{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468825711', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468825752', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468825792', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468825834', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468825875', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468825913', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468825952', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468825991', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468826032', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468826078', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468826112', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468826150', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468826191', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'FrameToYUV', 'Which': 's', 'AlgoTime': '1613468826234', 'TimeType': 'ms', 'Detail': 'FrameTime'}
