{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223308', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223349', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223390', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223429', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223469', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223509', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223550', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223590', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223629', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223669', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223711', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223749', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223789', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223830', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223869', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223908', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223949', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323223991', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323224030', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323224069', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323224108', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323224148', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Produce', 'Which': 's', 'AlgoTime': '1613323224189', 'TimeType': 'ms', 'Detail': 'FrameTime'}
